Item,Quantity,Price,Shipping,Total,Vendor,Link,Back Up 
Version 2,,,,0,,,
Motor,2,52.1,,104.2,Walmart,https://www.walmart.com/ip/24V-250W-Brushed-Gear-Electric-Motor-MY1016Z-Brushed-DC-Motor-75rpm-for-Electric-Wheelchair-Beach-Carts-Sport-Recreation-Other/18392363920?wmlspartner=wlpa&selectedSellerId=102667285,https://www.aliexpress.us/item/3256810601007230.html?spm=a2g0o.productlist.main.1.2f53XzMfXzMf6K&algo_pvid=02665946-8889-400f-8113-27e2bc125d61&algo_exp_id=02665946-8889-400f-8113-27e2bc125d61-0&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2190.17%2151.25%21%21%21619.70%21352.21%21%4021033d1217750037019498581ee8ba%2112000053508012539%21sea%21US%216564620185%21X%211%210%21n_tag%3A-29919%3Bd%3A89b04b70%3Bm03_new_user%3A-29895%3BpisId%3A5000000203130722&curPageLogUid=IMb6eYakqcZk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010787321982%7C_p_origin_prod%3A
Motor Controler,1,21.98,,21.98,Amazon,https://www.amazon.com/HiLetgo-BTS7960-Driver-Arduino-Current/dp/B00WSN98DC?th=1,
PSU,2,21.38,,42.76,Amazon,https://www.amazon.com/Taormey-Converter-Switching-Universal-Transformer/dp/B0DP988CNG/ref=sr_1_9?dib=eyJ2IjoiMSJ9.sERv0LKrWdV6tWglaDzZugNs4PQq4ARzrsxzwCxS_-z2YxCiMRmUKhoametsLPH545fLmA1RAW1hjHd2SEhl_kyFciBMawsS08VjYPIDsHiLeWoZWMszMVDuoxStbDf4YEAlgHLYfjDxhiAmkLq4s2KhDE-OzTcbcc89NmzYZ6kukHWj7biqXSe-HBuS30-79B-ukbQhaxLngT6B6U5O4zCaoJMC0RLgYXcnH9MgjrU.wHl62Ux_cC6Rq9ZnHZ9ZDDDQfq3pNgcGFcDerc3m1-M&dib_tag=se&keywords=24%2Bvolt%2Bdc%2Bpower%2Bsupply%2B20%2Bamp&qid=1775003554&sr=8-9&th=1,
AS5600 Magnetic Encoder,1,8.99,,8.99,Amazon,https://www.amazon.com/AOICRIE-Magnetic-Precision-Induction-Measurement/dp/B09SD7RHXS/ref=sr_1_1?dib=eyJ2IjoiMSJ9.6NksXOgvWLHYx9Jvq5hOQffiUhHuQi1LjXQkW9oR9n3wRhhngo-WPjDb1VTfVNyeZ3UAlZOH4S2ISZxDVImVTUDZyNRvyqpxXA1XGpm2nuC7EvYFBl4wDGn3xUfj4WTXWhsBg86JUmvUzlNGvytlnxJULcF8OGhoaY3U5TijUysB5n7AkDwZHzp0Ubj9MBK4QZzAZaUN5Tj8PS9Ll8CgdrCm--04B90g_UXg9VwgSmw.rww5dV_pXll7Ewom4qzqA7C1_6cMeMeZEiCrDJLHT9E&dib_tag=se&keywords=as5600&qid=1775005091&sr=8-1&th=1,https://www.printables.com/model/1381620-as5600-sensor-enclosure-model
,,,,0,,,
,,,,0,,,
Version 1,,,,0,,,
Stepper Motor,3,50.32,,150.96,Ali Express,https://www.aliexpress.us/item/3256808413149193.html?src=google&gatewayAdapt=glo2usa,
Gear Box,3,34.09,,102.27,Stepper Online,https://www.omc-stepperonline.com/eg-series-planetary-gearbox-gear-ratio-10-1-backlash-15-arc-min-for-nema-24-stepper-motor-eg24-g10?srsltid=AfmBOopgKSXrziCFSi6CcNbRQNYl243079CZLkmvuDuO7DNrW0Us8VSSPPs,
Rotory sensor,2,28.71,5.12,62.54,Ali Express,https://www.aliexpress.us/item/2251832236635237.html?src=google&gatewayAdapt=glo2usa,https://www.aliexpress.us/item/2251832636307162.html?spm=a2g0o.productlist.main.1.c3162239DEyRdk&algo_pvid=78d9e442-308f-4ca6-b92e-f0a5014fd26f&algo_exp_id=78d9e442-308f-4ca6-b92e-f0a5014fd26f-0&pdp_ext_f=%7B%22order%22%3A%2260%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2139.40%2123.64%21%21%2139.40%2123.64%21%402103212b17750042367796369e14b1%2112000037682557105%21sea%21US%216564620185%21X%211%210%21n_tag%3A-29919%3Bd%3A7564dd77%3Bm03_new_user%3A-29895&curPageLogUid=AZUCXxLd979N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32822621914%7C_p_origin_prod%3A
U joint,,,,0,,https://www.google.com/search?sca_esv=63b726b38d73526b&sxsrf=ANbL-n69eSWDsdeIuSPNr1Az8SHg1Hk2GQ:1775001709466&udm=2&fbs=ADc_l-aN0CWEZBOHjofHoaMMDiKpV6Bbbmx4QVaoKkiRQ2jlwvMg54BMciw6zYi-UcSdrQBNV1fEZVQc09EDL8fA8LwnhBL-kJSf4-mzu2et6bMnRF9wMH-KJjh6HueW4eglzjr4IQhfaUKXc_gcDmkZvfpxFmXnMCTwBbtwh7GIhCHcbTsaiPAR-WLLQTjeN7k6Ld_QGriz7srgrI9cNcaVkvwSKp9iQQ&q=universal+joint+for+diy+racing+sim&sa=X&ved=2ahUKEwjD-fjSrMuTAxUAwBQJHdCAGFYQtKgLegQIFRAB&biw=1536&bih=791&dpr=2.5#sv=CAMSWBoyKhBlLWNvcVVMWE40bno4TDRNMg5jb3FVTFhONG56OEw0TToOVmxKRkNwdmtmbmYzeU0gBCocCgZtb3NhaWMSEGUtY29xVUxYTjRuejhMNE0YADABOAAYByDcjfeeB0oIEAEYASABKAE,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,
,,,,0,,,